Latitud,Longitud,Station,Klimatnr,SwerefX,SwerefY,Höjd,Län,Landskap,jan,feb,mar,apr,maj,jun,jul,aug,sep,okt,nov,dec,år,start,slut,antal år
64.95,15.84,Stalon 2,145570,539522,7202597,365,Västerbottens län,Lappland,57.7,41.3,35.4,34.2,47.0,65.1,100.6,91.3,67.1,62.4,62.2,53.8,718.1,sep./1962,dec./2018,50.0
64.19,20.30,Stenfors,150120,757125,7128999,155,Västerbottens län,Västerbotten,51.0,41.6,38.2,34.3,43.6,60.1,82.4,78.3,61.7,69.3,65.1,63.2,688.8,juni/1976,juni/1997,21.01
65.07,17.15,Stensele,157720,601273,7218049,325,Västerbottens län,Lappland,36.9,26.4,23.07,23.02,38.6,63.2,91.5,78.6,49.7,45.8,41.1,40.1,558.8,jan./1961,dec./2004,44.0
64.95,19.48,Storliden,149570,711674,7210390,390,Västerbottens län,Västerbotten,46.0,36.2,35.2,34.1,46.5,71.9,103.2,80.4,61.0,60.3,54.5,55.0,684.2,jan./1961,aug./1973,12.07
64.78,19.37,Talliden,149470,707554,7190887,372,Västerbottens län,Västerbotten,43.1,33.5,32.0,31.6,42.4,66.0,95.3,71.8,56.8,56.2,48.9,50.1,627.7,jan./1961,dec./2020,59.9
64.04,20.08,Tavelsjö D,150020,747708,7111412,115,Västerbottens län,Västerbotten,53.0,41.6,36.5,32.7,42.0,59.0,83.6,79.6,62.5,68.8,63.7,63.4,686.4,juni/1989,dec./2020,31.6
63.95,17.90,Tegelträsk,137560,642250,7094849,380,Västerbottens län,Lappland,52.5,37.9,33.6,34.3,48.5,65.6,95.4,88.8,63.5,64.1,60.3,59.0,703.4,jan./1961,aug./1985,24.6
65.97,15.96,Tjulträsk,155990,543399,7316551,555,Västerbottens län,Lappland,81.7,64.1,61.3,38.4,41.5,66.8,93.9,84.8,74.3,67.8,67.8,78.3,820.7,jan./1961,sep./1977,16.08
63.71,19.59,Torrböle D,139420,726860,7072591,75,Västerbottens län,Ångermanland,58.3,44.2,39.9,37.4,44.3,54.6,81.5,87.2,65.7,74.1,76.2,71.0,734.4,dec./1975,dec./2020,45.1
65.72,15.25,Tärnaby,155910,511472,7288345,450,Västerbottens län,Lappland,71.5,56.5,56.2,32.8,33.5,56.0,78.4,71.6,66.4,58.2,56.2,68.2,705.6,jan./1961,dec./1972,12.00
65.67,15.13,Tärnamo,155890,505963,7283123,420,Västerbottens län,Lappland,69.1,55.1,54.5,32.3,32.5,53.6,74.7,68.3,63.8,56.7,54.2,66.4,681.2,jan./1963,juni/1983,20.04
64.76,17.22,Ulvoberg,147460,605432,7183853,520,Västerbottens län,Lappland,45.7,35.3,33.8,32.9,50.3,69.5,103.5,90.2,56.8,57.9,50.2,49.6,675.7,jan./1961,feb./2005,44.1
63.83,20.29,Umeå,140500,760093,7088880,10,Västerbottens län,Västerbotten,54.2,43.0,39.0,34.7,44.9,54.1,72.6,78.2,61.6,72.1,71.5,66.2,692.2,jan./1961,dec./1980,20.00
