Latitud,Longitud,Station,Klimatnr,SwerefX,SwerefY,Höjd,Län,Landskap,jan,feb,mar,apr,maj,jun,jul,aug,sep,okt,nov,dec,år,start,slut,antal år
62.75,13.84,Börtnan A,123460,440893,6958802,467,Jämtlands län,Jämtland,29.4,20.09,21.00,23.04,39.8,64.6,81.7,74.4,43.7,42.1,34.3,28.7,504.0,jan./1996,dec./2020,25.0
63.70,14.13,Dal,134420,457056,7063543,480,Jämtlands län,Jämtland,79.9,58.2,59.2,47.9,57.2,80.4,103.8,96.6,79.6,77.5,79.3,78.2,897.9,jan./1961,juni/1995,34.5
63.32,13.07,Dalen,133620,403141,7022325,480,Jämtlands län,Jämtland,61.2,47.1,47.9,36.0,42.8,75.3,93.7,86.4,64.4,61.9,54.5,59.9,731.3,jan./1961,dec./1970,10.00
63.62,12.92,Digernäset D,132370,396801,7056614,415,Jämtlands län,Jämtland,85.4,68.4,65.3,42.3,41.7,68.6,77.3,71.3,74.8,72.2,71.2,83.6,822.1,juli/1989,dec./2020,31.5
62.09,13.61,Dravagen A,123060,427351,6885384,567,Jämtlands län,Härjedalen,31.6,24.2,24.1,28.3,51.2,75.2,86.0,88.4,52.5,55.9,42.3,33.7,593.5,nov./1995,dec./2020,25.2
63.39,12.94,Duved,132240,397161,7031230,400,Jämtlands län,Jämtland,60.5,47.4,48.7,33.9,41.8,72.7,91.4,84.1,64.1,62.4,54.6,62.8,724.4,jan./1961,aug./2003,31.8
62.79,14.68,Dödre,124480,483882,6962362,349,Jämtlands län,Jämtland,34.0,24.4,26.1,30.6,50.1,76.5,93.2,85.8,55.0,54.3,43.8,39.0,612.8,jan./1961,dec./2020,58.6
63.98,12.87,Edevik,132590,395806,7096659,425,Jämtlands län,Jämtland,106.7,84.1,83.5,52.4,49.9,71.9,80.0,75.6,90.2,78.4,83.3,101.0,957.1,juli/1980,dec./2020,40.5
64.44,14.72,Fiskåvattnet,144260,486398,7145709,375,Jämtlands län,Jämtland,65.8,48.5,46.6,36.0,44.3,67.1,91.2,77.2,68.4,60.6,60.2,61.0,726.7,jan./1961,juni/1989,28.4
62.58,12.22,Fjällnäs,122360,357304,6941555,780,Jämtlands län,Härjedalen,67.5,54.0,48.9,39.3,58.1,81.4,100.2,99.1,67.4,73.3,66.7,61.6,817.6,jan./1961,jan./1996,34.8
64.39,14.31,Frostviken D,144220,466912,7140145,332,Jämtlands län,Jämtland,60.6,45.7,44.1,32.9,40.6,62.9,88.8,69.9,63.7,53.7,52.0,55.7,670.6,juni/2008,dec./2020,12.06
63.20,14.49,Frösön,134110,474156,7007687,376,Jämtlands län,Jämtland,28.9,18.04,21.06,23.07,38.9,64.1,80.2,73.3,46.1,42.4,32.7,33.0,503.3,jan./1961,nov./2002,41.9
63.68,14.60,Föllinge A,134410,480446,7060984,362,Jämtlands län,Jämtland,34.6,25.3,26.5,27.8,43.0,55.7,77.1,68.7,48.1,45.9,42.1,36.6,531.4,dec./1995,dec./2020,25.1
63.76,14.43,Föllinge-Vägskälet,134460,471996,7070462,475,Jämtlands län,Jämtland,51.7,36.3,39.6,36.4,49.5,69.4,94.5,83.3,62.3,57.6,57.8,52.6,690.9,feb./1980,nov./1995,15.08
62.96,15.85,Gastsjön,125580,543342,6981365,330,Jämtlands län,Jämtland,44.6,30.1,31.7,35.8,51.9,72.3,96.8,84.8,54.8,62.4,50.4,50.4,666.1,jan./1961,dec./1987,26.8
63.33,15.41,Greningen,135200,520304,7022099,390,Jämtlands län,Jämtland,41.5,28.4,29.1,32.8,49.2,70.1,91.8,73.7,52.3,52.8,44.3,43.4,609.4,juli/1971,juni/2004,33.0
64.22,15.55,Gubbhögen A,145130,526834,7121330,310,Jämtlands län,Jämtland,43.5,28.8,28.4,29.0,40.9,63.0,82.0,73.0,59.1,48.8,45.8,41.0,583.4,jan./1996,dec./2020,25.0
62.81,15.93,Gustavsnäs D,125490,547578,6964854,300,Jämtlands län,Jämtland,42.9,30.4,31.8,36.8,51.2,70.7,98.2,83.5,52.9,60.8,49.3,49.0,657.4,juni/1988,dec./2014,26.6
63.67,15.10,Gåxsjö D,135420,505151,7060625,315,Jämtlands län,Jämtland,41.1,28.6,29.3,32.8,48.9,64.7,89.4,76.3,55.8,52.2,47.2,45.4,611.7,juli/1989,dec./2006,16.08
64.50,14.16,Gäddede,144300,459637,7153412,328,Jämtlands län,Jämtland,76.9,62.7,58.2,43.8,48.3,73.2,99.0,79.7,74.5,66.5,63.7,70.4,816.9,jan./1961,aug./2008,47.6
64.50,14.22,Gäddede A,144310,462572,7153458,553,Jämtlands län,Jämtland,66.6,53.1,52.1,40.3,44.4,65.8,88.6,72.1,67.6,58.5,54.5,60.9,724.5,jan./2008,dec./2020,13.00
63.77,15.33,Hallhåxåsen A,135460,516171,7071255,375,Jämtlands län,Jämtland,38.0,26.3,29.0,32.5,47.2,65.1,93.3,76.6,53.9,54.5,46.4,42.8,605.7,dec./1995,dec./2020,25.1
63.73,15.50,Hallviken,135440,524692,7067024,337,Jämtlands län,Jämtland,40.7,27.5,28.3,32.5,47.9,66.7,91.3,75.3,54.5,52.7,47.1,44.8,609.2,jan./1961,nov./1978,17.08
63.57,15.37,Hammerdal D,135350,518443,7049623,330,Jämtlands län,Jämtland,34.7,23.00,24.0,30.0,50.1,66.6,93.4,74.4,54.2,49.4,40.8,38.8,579.5,feb./1962,dec./2020,36.8
62.48,14.80,Handsjön D,124290,489590,6927231,291,Jämtlands län,Jämtland,38.6,28.1,29.9,34.3,50.7,76.1,91.5,83.1,56.2,58.3,48.2,41.7,636.7,apr./2006,dec./2020,14.08
62.41,13.52,Hede,123250,423449,6920811,430,Jämtlands län,Härjedalen,30.2,21.09,21.05,25.1,46.1,68.5,86.8,80.7,43.4,49.4,39.1,31.0,543.8,jan./1961,juli/2007,46.5
62.41,13.67,Hedeviken,123340,431530,6920691,410,Jämtlands län,Härjedalen,31.2,22.08,22.07,26.8,46.7,69.5,84.9,80.1,44.3,47.9,40.1,32.4,549.3,okt./2008,dec./2020,12.03
64.11,15.31,Hillsand,145090,515306,7109277,321,Jämtlands län,Jämtland,45.7,31.4,29.9,30.8,44.7,64.3,88.1,81.5,61.7,53.2,51.1,45.7,628.0,okt./1985,dec./2020,35.2
63.33,14.47,Hissmofors,134200,473626,7022789,285,Jämtlands län,Jämtland,35.0,24.0,26.6,28.0,43.0,63.7,82.6,75.5,48.8,48.4,40.3,37.0,552.9,jan./1961,aug./1990,28.3
64.12,16.21,Hoting,146070,559158,7111352,240,Jämtlands län,Ångermanland,47.6,31.2,29.6,32.9,45.3,67.6,90.5,82.4,58.3,53.6,51.6,49.8,640.2,nov./1969,sep./1997,26.9
64.09,16.24,Hoting A,146050,560242,7107346,242,Jämtlands län,Ångermanland,42.9,28.9,28.3,31.3,43.6,63.5,81.8,76.3,55.9,51.4,48.0,46.3,598.0,feb./1996,dec./2020,24.9
62.75,15.09,Hunge,125450,504704,6958184,342,Jämtlands län,Jämtland,38.4,26.2,29.0,34.4,51.4,77.5,94.7,80.1,55.3,57.6,46.3,42.7,633.6,jan./1961,maj/2004,43.3
62.75,15.08,Hunge A,125440,504314,6957778,343,Jämtlands län,Jämtland,31.2,21.00,24.0,29.7,45.3,69.0,88.8,73.4,50.4,50.4,39.1,35.8,558.1,nov./1995,dec./2020,25.2
64.39,14.39,Håkafot D,144230,470645,7140771,310,Jämtlands län,Jämtland,53.6,41.5,37.1,29.4,38.2,60.4,84.3,67.8,57.4,48.2,45.3,46.4,609.5,nov./2004,dec./2018,14.02
63.52,12.72,Häggsjön,132310,386369,7045088,480,Jämtlands län,Jämtland,68.7,56.2,57.7,39.5,41.7,71.3,86.4,75.5,69.3,60.6,56.0,67.0,749.9,jan./1977,dec./2013,36.8
63.08,13.75,Höglekardalen,133050,436796,6994954,595,Jämtlands län,Jämtland,54.3,38.2,44.8,42.2,54.5,96.5,116.5,107.3,69.1,78.2,58.6,54.6,814.9,jan./1962,dec./2020,59.0
64.73,13.98,Jormlien,143440,451507,7178654,383,Jämtlands län,Jämtland,108.6,90.3,87.1,54.6,47.2,68.9,79.3,80.6,93.8,91.5,86.8,106.2,995.0,jan./1961,dec./2020,60.0
63.35,13.46,Järpen,133220,422833,7025826,338,Jämtlands län,Jämtland,37.7,27.1,29.4,24.1,33.1,58.9,77.5,71.8,47.3,44.2,37.6,37.5,526.3,okt./1985,juli/1996,10.08
63.39,13.38,Järpströmmen,133240,419273,7030099,387,Jämtlands län,Jämtland,44.3,33.4,34.6,28.0,36.1,63.9,75.8,78.1,53.0,46.4,41.6,43.2,578.6,jan./1961,dec./2020,59.8
63.49,13.88,Kaxås-Åflo D,133300,444056,7040957,346,Jämtlands län,Jämtland,48.1,32.3,35.3,32.7,42.1,61.7,82.5,81.4,56.4,55.3,51.1,47.5,626.6,okt./1963,dec./2020,54.3
63.30,12.51,Klocka,132190,374987,7021257,530,Jämtlands län,Jämtland,50.1,39.8,43.0,31.6,39.1,69.9,85.3,80.3,63.4,54.9,46.5,52.0,655.8,juni/1971,aug./2004,33.3
62.53,14.20,Klövsjö,124320,458978,6933868,549,Jämtlands län,Jämtland,48.5,32.6,34.8,37.7,62.0,91.7,114.9,108.3,66.5,71.7,59.5,48.5,776.7,nov./1977,dec./1995,17.09
62.50,14.15,Klövsjöhöjden A,124300,456419,6929638,803,Jämtlands län,Jämtland,46.6,32.8,36.1,38.7,61.8,86.0,106.1,109.0,67.8,74.3,58.8,46.5,764.5,nov./1995,dec./2020,25.0
64.46,15.54,Korsselbränna,145280,526091,7148063,178,Jämtlands län,Jämtland,58.3,39.2,36.2,33.2,45.7,73.8,98.4,85.1,67.4,57.4,57.5,53.1,705.3,jan./1961,apr./2000,39.1
63.84,13.50,Korsvattnet A,133500,426257,7079885,717,Jämtlands län,Jämtland,88.5,70.3,74.0,52.8,55.3,77.3,90.2,88.7,98.7,89.4,85.5,86.5,957.2,nov./1995,dec./2020,25.0
63.15,16.17,Krångede A,136090,558951,7002976,183,Jämtlands län,Jämtland,34.9,23.07,25.0,29.3,42.7,58.7,86.3,75.8,46.2,49.0,40.5,39.9,552.0,jan./1965,dec./2020,55.7
64.25,15.85,Kyrktåsjö D,145150,540986,7124629,272,Jämtlands län,Ångermanland,49.2,31.9,30.3,33.0,43.1,71.1,88.9,82.2,59.8,54.6,49.8,46.5,640.2,okt./1963,dec./2020,57.2
62.96,16.11,Kälarne,126580,556167,6981928,305,Jämtlands län,Jämtland,42.0,27.9,29.3,34.0,48.2,64.4,88.3,84.1,51.6,60.5,45.9,47.2,623.4,feb./1988,mars/2016,28.2
63.79,14.68,Laxviken,134470,484152,7073665,315,Jämtlands län,Jämtland,46.7,32.1,34.6,32.9,48.2,66.1,90.2,80.0,58.3,54.1,52.9,47.7,643.8,jan./1961,sep./1982,21.08
64.93,14.16,Leipikvattnet,144560,460109,7200813,481,Jämtlands län,Jämtland,107.1,89.6,84.2,52.4,47.8,67.0,82.4,83.7,100.3,95.8,88.1,104.7,1003.0,jan./1961,dec./2019,58.4
64.30,15.22,Lidsjöberg,145180,510693,7130608,300,Jämtlands län,Jämtland,54.9,36.5,35.4,35.3,45.4,68.1,92.8,78.8,67.5,56.8,55.2,50.8,677.6,maj/1978,dec./2003,25.6
61.85,14.09,Lillhärdal,114510,452221,6858328,440,Jämtlands län,Härjedalen,31.6,22.05,23.03,31.3,51.4,76.6,90.2,91.2,55.7,56.0,41.1,35.0,605.9,nov./1963,okt./2016,52.3
63.31,14.70,Litsnäset,134170,485015,7020005,272,Jämtlands län,Jämtland,33.7,22.02,25.8,27.7,43.3,61.8,86.7,72.0,48.0,49.1,40.9,38.2,549.4,juli/1992,dec./2020,28.1
62.85,12.81,Ljungdalen,122510,388382,6971257,615,Jämtlands län,Härjedalen,52.3,40.1,36.1,31.5,46.6,67.7,91.8,85.6,49.8,54.7,50.5,45.5,652.1,jan./1961,dec./2018,57.6
62.76,16.31,Ljungå,126460,567106,6959467,220,Jämtlands län,Jämtland,40.4,26.7,27.6,32.5,46.3,65.4,90.6,83.3,51.3,60.6,47.9,47.7,620.3,jan./1961,mars/1987,25.7
62.55,12.60,Ljusnedal,122330,376805,6937661,585,Jämtlands län,Härjedalen,36.9,29.5,26.3,24.7,46.0,68.6,83.9,82.0,46.5,47.6,40.7,33.5,566.2,jan./1961,dec./2020,60.0
62.11,13.28,Lofsdalen,123070,410467,6887976,610,Jämtlands län,Härjedalen,45.4,32.7,31.5,34.0,59.2,83.1,101.0,100.4,60.9,66.4,57.5,45.0,717.0,jan./1961,sep./1995,34.8
63.52,14.52,Lundsjön,134310,476280,7043496,414,Jämtlands län,Jämtland,40.7,30.7,34.1,31.9,49.9,66.3,84.3,79.9,52.8,54.2,48.4,44.4,617.6,juli/1971,dec./2020,49.5
63.45,14.48,Långan D,134270,474237,7036360,297,Jämtlands län,Jämtland,40.7,29.7,31.9,31.5,48.1,65.9,86.1,77.9,51.7,53.8,47.0,42.7,606.9,jan./2006,dec./2020,15.00
62.12,15.00,Långströmmen,124050,500000,6887170,280,Jämtlands län,Hälsingland,38.4,26.4,26.2,30.8,49.1,74.6,88.6,82.6,52.3,55.9,46.4,43.2,614.5,nov./1966,aug./1978,11.03
63.97,15.84,Lövberga D,135580,541314,7093640,282,Jämtlands län,Jämtland,38.7,26.4,26.7,32.1,46.5,69.8,89.0,81.1,56.9,51.3,45.2,42.7,606.5,jan./1961,dec./2020,59.8
63.75,14.72,Lövsjön,134450,486015,7069187,310,Jämtlands län,Jämtland,39.7,26.8,29.2,28.4,43.7,60.3,83.6,73.4,51.7,48.4,46.2,41.5,572.8,jan./1961,juni/1972,11.05
62.61,12.16,Malmagen,122370,354288,6945278,785,Jämtlands län,Härjedalen,57.1,45.9,43.6,37.4,52.0,76.2,85.8,90.3,65.6,66.3,57.6,51.1,729.0,jan./1961,dec./2020,58.1
63.12,14.29,Marby D,134070,464316,6999207,328,Jämtlands län,Jämtland,36.4,23.02,26.8,28.2,43.4,70.4,85.5,86.7,52.1,47.7,40.7,38.2,579.1,maj/1987,dec./2020,32.8
62.44,12.97,Medskogen,122270,395094,6925182,655,Jämtlands län,Härjedalen,36.6,29.5,28.1,28.5,49.5,73.6,90.5,79.7,47.6,47.8,42.1,33.9,587.3,juli/1982,dec./2020,38.5
63.53,12.40,Medstugan,132320,370745,7046762,548,Jämtlands län,Jämtland,50.9,42.8,42.3,32.0,39.0,71.3,88.1,80.3,69.0,61.6,50.5,53.3,681.1,dec./1975,sep./2019,43.8
63.85,13.38,Mjölkvattnet,133510,420330,7081311,545,Jämtlands län,Jämtland,117.2,91.5,89.8,57.2,58.1,81.8,98.3,93.9,99.2,97.8,100.6,112.3,1097.6,okt./1965,okt./1981,15.09
64.27,14.45,Munsvattnet,144160,473410,7127595,520,Jämtlands län,Jämtland,67.5,48.7,44.6,33.0,39.9,65.8,92.1,73.1,65.1,56.4,57.7,59.7,703.7,jan./1961,apr./1997,36.3
62.33,12.65,Myskelåsen D,122200,378125,6913550,770,Jämtlands län,Härjedalen,40.3,29.9,29.2,28.9,52.9,74.2,93.7,87.7,50.5,52.3,44.8,36.7,621.2,jan./1961,dec./2020,60.0
63.32,13.65,Mörsil,133190,432159,7021771,420,Jämtlands län,Jämtland,44.6,31.9,36.5,32.9,43.7,69.6,92.1,85.9,56.6,58.2,46.1,44.0,642.2,juli/1971,dec./2020,49.5
62.94,13.25,Nedgården,123570,411346,6979718,780,Jämtlands län,Jämtland,51.0,37.5,37.7,31.2,45.5,73.4,94.4,87.2,54.8,58.4,50.5,47.7,669.4,jan./1961,jan./1982,20.08
63.16,14.37,Norderön,134090,468069,7003692,321,Jämtlands län,Jämtland,33.5,22.04,25.7,27.3,41.9,66.2,82.4,80.1,48.6,46.6,37.6,35.4,547.7,jan./1961,dec./2020,30.9
64.43,15.60,Norråker D,145260,528820,7145413,270,Jämtlands län,Ångermanland,50.7,34.7,31.7,30.8,41.7,66.7,90.4,78.9,60.5,51.5,51.4,47.1,636.2,aug./1975,feb./2011,19.09
63.70,13.65,Olden D,133420,433120,7063752,344,Jämtlands län,Jämtland,64.9,48.9,50.9,36.6,41.5,57.0,77.6,73.2,61.6,57.1,62.7,62.8,695.0,juni/1983,okt./2020,37.4
62.20,13.87,Ransjö,123120,441420,6896535,421,Jämtlands län,Härjedalen,33.3,24.0,24.7,29.2,52.5,75.8,89.9,88.6,51.4,55.4,45.7,37.5,608.1,nov./1963,apr./2001,37.5
64.92,14.56,Raukasjö,144550,479033,7199579,550,Jämtlands län,Jämtland,75.9,62.7,56.9,39.2,38.6,56.9,74.8,69.7,70.2,65.7,63.2,76.1,750.0,juli/1972,apr./2001,28.3
63.60,12.65,Rensjönäset,132360,383436,7054584,520,Jämtlands län,Jämtland,79.6,64.2,63.9,42.2,45.5,72.8,85.4,77.6,77.1,71.0,67.5,77.5,824.4,jan./1961,dec./1976,16.00
63.06,15.34,Rissna D,135040,517297,6992147,302,Jämtlands län,Jämtland,41.5,29.8,29.9,35.6,53.1,75.3,97.8,79.0,54.1,53.6,46.1,45.6,641.5,nov./1969,dec./2020,50.8
63.93,16.37,Rossön,136560,567132,7090361,234,Jämtlands län,Ångermanland,44.9,29.6,29.8,34.1,46.0,64.7,88.4,78.6,56.1,53.0,50.0,48.3,623.6,juli/1972,dec./2020,47.5
62.48,14.54,Rätan,124280,476339,6928145,360,Jämtlands län,Jämtland,36.3,23.08,24.4,29.7,46.8,70.5,92.6,81.2,50.5,55.0,45.4,37.0,593.1,jan./1961,nov./2020,59.8
63.24,14.55,Rösta,134150,477573,7012887,360,Jämtlands län,Jämtland,33.8,22.08,26.9,29.2,43.6,66.1,83.4,75.8,50.7,50.0,39.9,37.7,559.8,jan./1961,dec./2011,51.0
63.75,12.43,Sandnäset,132450,373173,7072180,432,Jämtlands län,Jämtland,100.1,77.5,80.5,53.5,60.8,86.4,96.9,86.0,104.1,91.7,86.7,97.2,1021.4,jan./1961,maj/2019,57.0
63.62,15.09,Sikåskälen,135380,504606,7054652,490,Jämtlands län,Jämtland,45.4,30.6,32.9,35.5,53.9,74.4,100.8,83.6,60.4,58.7,52.7,49.4,678.2,jan./1961,juli/1984,23.05
62.65,14.17,Skålan,124390,457282,6946870,452,Jämtlands län,Jämtland,37.8,25.4,26.9,30.2,51.1,78.5,96.5,91.6,54.2,57.1,46.8,37.6,633.7,dec./1962,dec./1976,13.07
64.82,14.15,Stora Blåsjön,144510,459778,7188396,485,Jämtlands län,Jämtland,76.8,64.7,62.5,40.7,38.6,57.1,72.5,68.4,72.6,64.8,64.4,76.9,760.0,maj/1978,dec./1994,16.07
63.28,12.12,Storlien-Storvallen,132180,355751,7020356,583,Jämtlands län,Jämtland,75.5,67.9,67.3,47.1,54.3,87.7,100.0,104.1,98.0,81.0,64.0,74.7,921.4,okt./1962,sep./2011,49.0
63.28,12.12,Storlien-Storvallen A,132170,355660,7020319,583,Jämtlands län,Jämtland,70.1,61.9,59.8,42.7,48.2,77.8,89.8,86.9,82.8,74.3,61.7,70.1,826.0,nov./2009,dec./2020,11.02
62.80,13.07,Storsjö Kapell,123480,401747,6964954,580,Jämtlands län,Härjedalen,42.2,31.1,30.2,29.2,46.5,71.8,91.7,82.7,49.0,51.1,43.7,38.6,607.8,jan./1961,jan./1996,35.1
63.85,15.59,Strömsund,135520,528978,7080968,373,Jämtlands län,Jämtland,41.0,28.4,27.7,32.1,46.9,65.7,93.0,77.3,55.7,52.8,48.0,44.2,612.7,jan./1961,nov./1995,18.07
63.91,15.31,Strömsund-Edet D,135550,515444,7087520,302,Jämtlands län,Jämtland,46.9,32.5,31.5,34.5,49.7,69.0,98.3,84.4,61.9,56.5,54.1,48.0,667.1,dec./2006,dec./2020,14.01
63.04,15.84,Svedjelandet,135020,542594,6990255,369,Jämtlands län,Jämtland,46.3,30.0,32.2,35.7,52.8,75.1,100.8,87.7,58.0,65.5,50.7,50.8,685.5,juni/2008,dec./2020,12.03
62.05,14.41,Sveg A,124030,468980,6879472,357,Jämtlands län,Härjedalen,26.6,18.09,19.09,25.7,43.8,68.0,80.1,77.6,44.3,48.0,35.6,29.9,518.4,okt./2009,dec./2020,11.03
62.01,14.30,Sveg-Eggarna,124020,463316,6875949,360,Jämtlands län,Härjedalen,33.0,25.0,25.5,30.9,51.3,78.2,94.3,87.7,53.2,55.5,43.6,36.3,614.5,jan./1961,dec./2020,53.8
62.63,13.16,Särvsjö D,123370,405726,6945809,640,Jämtlands län,Härjedalen,45.8,32.9,31.7,31.6,52.9,74.8,95.9,87.7,52.8,56.2,51.3,44.1,657.6,okt./1972,dec./2008,35.9
62.77,15.50,Sösjö,125460,525508,6959695,430,Jämtlands län,Jämtland,42.1,28.8,33.5,36.5,53.6,79.6,102.2,88.1,57.7,64.2,50.0,49.3,685.7,jan./1961,jan./2005,44.0
63.01,14.72,Tandsbyn D,134000,485741,6986645,415,Jämtlands län,Jämtland,43.9,28.3,32.6,34.3,49.6,74.7,92.6,86.1,57.2,59.5,49.7,45.2,653.6,jan./1961,jan./2019,55.3
62.70,14.39,Tossåsen,124430,468920,6951944,410,Jämtlands län,Jämtland,37.3,25.7,27.6,30.8,49.0,76.0,92.2,86.3,54.8,54.3,45.7,38.7,618.5,jan./1961,maj/1997,36.3
64.63,14.86,Trångmon,144380,493398,7167394,480,Jämtlands län,Jämtland,79.5,60.4,57.3,41.0,45.3,67.5,94.3,82.5,77.3,71.7,71.5,74.2,822.7,jan./1961,nov./2001,38.0
63.31,14.31,Tullus D,134190,465587,7020038,344,Jämtlands län,Jämtland,32.6,24.3,24.5,28.2,43.8,67.6,86.8,80.9,52.2,47.8,38.1,34.3,561.0,aug./1990,dec./2020,30.4
62.45,12.67,Tännäs A,122260,379656,6926415,723,Jämtlands län,Härjedalen,36.3,28.4,28.4,27.6,49.3,65.1,87.8,76.3,44.6,48.3,42.6,33.3,568.1,dec./1995,dec./2020,25.1
63.72,15.83,Täxan,135430,541077,7066025,270,Jämtlands län,Ångermanland,40.8,26.8,27.6,32.7,47.5,68.7,91.5,76.1,54.6,52.3,45.8,44.2,608.6,jan./1961,juli/1984,23.03
63.83,15.62,Ulriksfors,135500,530327,7078719,285,Jämtlands län,Jämtland,44.2,30.7,30.7,34.9,49.8,69.9,95.2,80.8,58.6,55.6,50.8,47.7,648.9,jan./1961,sep./1981,20.08
63.33,13.38,Undersåker,133200,418998,7023034,330,Jämtlands län,Jämtland,46.0,34.6,37.7,31.1,39.9,68.8,87.2,82.5,55.4,52.6,45.2,45.6,626.4,jan./1967,maj/1983,16.04
63.16,13.07,Vallbo,133100,402756,7004396,581,Jämtlands län,Jämtland,42.3,35.4,37.3,28.3,36.2,66.7,91.8,86.7,53.8,48.7,39.7,41.9,608.8,jan./1961,dec./2020,59.9
64.07,14.14,Valsjöbyn,144040,458200,7104601,330,Jämtlands län,Jämtland,52.5,39.9,38.3,31.7,41.2,62.7,87.4,75.1,58.3,48.3,49.3,51.0,635.6,jan./1961,dec./2020,57.8
64.06,15.37,Vedjeön,145040,518237,7104088,290,Jämtlands län,Jämtland,45.5,30.8,29.8,31.4,43.9,63.5,86.6,75.6,58.0,51.7,49.5,44.6,610.9,juli/1971,sep./1985,14.03
62.07,14.49,Ytterberg D,124040,473577,6881780,470,Jämtlands län,Härjedalen,30.0,24.2,25.0,30.1,48.7,77.4,87.3,86.8,50.9,53.3,40.8,35.1,589.6,jan./1961,dec./2020,60.0
62.18,14.95,Ytterhogdal,124110,497281,6894426,264,Jämtlands län,Hälsingland,45.1,31.4,30.5,34.0,53.0,78.7,88.4,82.1,54.7,58.9,49.6,50.6,657.0,jan./1961,dec./2020,57.9
63.87,14.61,Ålåsen,134520,480653,7082398,450,Jämtlands län,Jämtland,56.0,39.8,41.7,37.3,49.6,68.1,90.7,81.5,63.0,59.3,59.7,55.5,702.2,jan./1964,feb./1980,16.01
63.40,13.10,Åre,133230,405090,7031565,440,Jämtlands län,Jämtland,70.5,53.6,53.5,38.4,45.2,77.6,95.7,88.8,69.7,67.5,60.9,68.5,789.9,jan./1961,jan./1971,10.01
62.66,14.35,Åsarna D,124400,466824,6947803,448,Jämtlands län,Jämtland,39.7,27.1,28.7,31.9,52.0,78.9,96.8,92.8,55.7,56.4,48.9,39.8,648.8,okt./2005,dec./2020,15.03
62.72,16.17,Öraåtjärnarna D,126430,560020,6954433,343,Jämtlands län,Jämtland,43.7,31.7,32.3,38.7,52.1,71.9,99.7,90.3,57.2,68.6,54.3,54.0,694.3,jan./1975,dec./2020,45.8
63.17,14.68,Östersund,134100,483817,7004972,345,Jämtlands län,Jämtland,37.9,24.9,28.0,30.6,47.5,73.0,92.6,82.7,53.4,52.6,43.4,41.0,607.7,jan./1961,juni/1980,19.05
63.78,13.07,Överäng,133470,405032,7073798,450,Jämtlands län,Jämtland,79.7,63.8,64.4,43.3,43.5,67.9,79.8,75.2,74.2,68.1,67.8,72.5,800.3,jan./1961,feb./2006,45.0
63.40,17.49,Aspeå,137220,624430,7032514,256,Västernorrland län,Ångermanland,51.4,34.6,31.9,36.8,44.4,60.0,85.2,76.4,62.0,66.3,59.5,57.3,665.8,aug./1974,dec./2020,46.3
63.46,18.07,Bredbyn D,138270,652875,7040510,81,Västernorrland län,Ångermanland,46.9,31.8,28.9,32.0,40.3,55.9,86.2,82.0,58.6,60.9,52.2,55.2,631.0,jan./1961,dec./2020,49.1
62.22,17.74,Brämön A,127130,642398,6901678,18,Västernorrland län,Medelpad,33.2,19.06,21.09,27.8,35.5,45.2,61.5,63.5,46.9,56.4,47.8,40.9,500.3,jan./1961,dec./2020,35.3
63.19,18.03,Degersjö,138110,652506,7010383,295,Västernorrland län,Ångermanland,62.5,40.4,39.6,42.3,48.4,61.8,97.9,96.9,72.4,81.5,74.7,70.4,788.8,jan./1961,juni/1980,19.00
63.40,16.55,Edsele,136240,577417,7031617,165,Västernorrland län,Ångermanland,42.8,27.4,25.9,33.8,46.6,68.3,87.1,72.5,54.1,57.5,45.5,47.0,608.4,jan./1961,nov./2016,55.9
63.15,17.02,Forse,137080,601908,7003468,126,Västernorrland län,Ångermanland,38.1,23.07,25.0,31.9,45.3,58.6,87.8,74.1,53.7,59.5,44.0,45.0,586.6,jan./1961,dec./2020,59.6
63.52,16.68,Forsnäset,136310,583438,7044789,200,Västernorrland län,Ångermanland,43.5,28.4,27.6,33.3,48.1,67.0,86.6,78.0,53.8,56.7,47.0,46.7,616.5,okt./1997,mars/2014,16.04
62.52,16.21,Fränsta 2,126300,562216,6932303,110,Västernorrland län,Medelpad,34.0,23.05,23.09,28.7,43.0,62.7,83.3,76.3,46.3,53.9,41.3,40.9,557.8,jan./1962,dec./1995,34.0
63.82,17.13,Gulsele,137490,604765,7078246,260,Västernorrland län,Ångermanland,41.7,27.9,25.9,28.5,44.3,60.5,82.2,73.0,54.6,50.0,46.4,46.2,581.2,jan./1966,maj/2006,38.6
62.79,17.55,Gåltjärn,127480,630054,6965311,269,Västernorrland län,Ångermanland,70.4,43.7,46.6,46.7,49.9,57.4,88.5,99.4,74.6,90.3,77.8,77.4,822.6,nov./1977,dec./2020,42.9
63.59,18.95,Hattsjöbäcken D,138360,696116,7057593,170,Västernorrland län,Ångermanland,68.0,46.6,41.2,38.7,49.4,62.3,101.4,102.9,78.3,82.8,86.4,79.5,837.5,nov./1993,dec./2020,21.00
63.66,18.53,Hemling,138400,674793,7063668,190,Västernorrland län,Ångermanland,44.1,32.0,28.6,30.4,41.9,52.7,86.2,90.1,62.8,61.6,56.7,52.6,639.8,juli/1970,juli/2011,41.0
63.65,18.55,Hemling A,138390,675567,7062921,182,Västernorrland län,Ångermanland,39.5,29.7,27.0,29.5,40.6,50.9,79.3,87.7,61.7,57.7,54.0,47.8,605.4,jan./1996,dec./2020,25.0
